title,budget,budget_squared,revenue,runtime,vote_average,year,main_genre
Avatar,237000000,56169000000000000,2787965087,162.0,7.2,2009,Action
Pirates of the Caribbean: At World's End,300000000,90000000000000000,961000000,169.0,6.9,2007,Adventure
Spectre,245000000,60025000000000000,880674609,148.0,6.3,2015,Action
The Dark Knight Rises,250000000,62500000000000000,1084939099,165.0,7.6,2012,Action
John Carter,260000000,67600000000000000,284139100,132.0,6.1,2012,Action
Spider-Man 3,258000000,66564000000000000,890871626,139.0,5.9,2007,Fantasy
Tangled,260000000,67600000000000000,591794936,100.0,7.4,2010,Animation
Avengers: Age of Ultron,280000000,78400000000000000,1405403694,141.0,7.3,2015,Action
Harry Potter and the Half-Blood Prince,250000000,62500000000000000,933959197,153.0,7.4,2009,Adventure
Batman v Superman: Dawn of Justice,250000000,62500000000000000,873260194,151.0,5.7,2016,Action
Superman Returns,270000000,72900000000000000,391081192,154.0,5.4,2006,Adventure
Quantum of Solace,200000000,40000000000000000,586090727,106.0,6.1,2008,Adventure
Pirates of the Caribbean: Dead Man's Chest,200000000,40000000000000000,1065659812,151.0,7.0,2006,Adventure
The Lone Ranger,255000000,65025000000000000,89289910,149.0,5.9,2013,Action
Man of Steel,225000000,50625000000000000,662845518,143.0,6.5,2013,Action
The Chronicles of Narnia: Prince Caspian,225000000,50625000000000000,419651413,150.0,6.3,2008,Adventure
The Avengers,220000000,48400000000000000,1519557910,143.0,7.4,2012,Science Fiction
Pirates of the Caribbean: On Stranger Tides,380000000,144400000000000000,1045713802,136.0,6.4,2011,Adventure
Men in Black 3,225000000,50625000000000000,624026776,106.0,6.2,2012,Action
The Hobbit: The Battle of the Five Armies,250000000,62500000000000000,956019788,144.0,7.1,2014,Action
The Amazing Spider-Man,215000000,46225000000000000,752215857,136.0,6.5,2012,Action
Robin Hood,200000000,40000000000000000,310669540,140.0,6.2,2010,Action
The Hobbit: The Desolation of Smaug,250000000,62500000000000000,958400000,161.0,7.6,2013,Adventure
